tmin,cc,site_id,filt_width,hemisphere,group,tmax,enumber,depth,region
34.0787227263,0.55217231305,1,20.9715216777,L,HP,55.050244404,1,750,HP
18.350081468,0.395278474925,1,10.4857608389,L,CMM,28.8358423069,2,750,CMM-HP
18.350081468,0.378984664683,1,7.86432062915,L,HP,26.2144020972,3,750,HP-L1
18.350081468,0.258624665561,1,7.86432062915,L,HP,26.2144020972,4,750,HP-L1
15.7286412583,0.359807491181,1,10.4857608389,L,HP,26.2144020972,5,750,HP
15.7286412583,0.418396962447,1,7.86432062915,L,HP,23.5929618874,6,750,HP
15.7286412583,0.488258963329,1,7.86432062915,L,HP,23.5929618874,7,750,HP
15.7286412583,0.484490471447,1,7.86432062915,L,HP,23.5929618874,8,750,HP
15.7286412583,0.344298169279,1,5.24288041943,L,NCM,20.9715216777,9,750,NCM
15.7286412583,0.327034337124,1,7.86432062915,L,L2,23.5929618874,10,750,L2B
15.7286412583,0.296133015651,1,7.86432062915,L,L2,23.5929618874,11,750,L2A
15.7286412583,0.362792511551,1,7.86432062915,L,L2,23.5929618874,12,750,L2A
15.7286412583,0.405703556469,1,13.1072010486,L,L2,28.8358423069,13,750,L2A-L1
18.350081468,0.527928111033,1,10.4857608389,L,CML,28.8358423069,14,750,CML
15.7286412583,0.550102475461,1,13.1072010486,L,CML,28.8358423069,15,750,CML
18.350081468,0.514595978536,1,10.4857608389,L,CML,28.8358423069,16,750,CML
18.350081468,0.386047760319,1,5.24288041943,R,HP,23.5929618874,17,1100,HP-NCM
18.350081468,0.409857342326,1,5.24288041943,R,HP,23.5929618874,18,1100,HP
18.350081468,0.171426357101,1,5.24288041943,R,CMM,23.5929618874,19,1100,CMM
20.9715216777,0.407446854877,1,13.1072010486,R,NCM,34.0787227263,20,1100,NCM
18.350081468,0.657156274116,1,13.1072010486,R,CMM,31.4572825166,21,1100,CMM
18.350081468,0.707360270762,1,15.7286412583,R,HP,34.0787227263,22,1100,HP
20.9715216777,0.294577620503,1,10.4857608389,R,CMM,31.4572825166,23,1100,CMM
20.9715216777,0.270403794323,1,10.4857608389,R,CMM,31.4572825166,24,1100,CMM-HP
20.9715216777,0.412438919598,1,10.4857608389,R,CML,31.4572825166,25,1100,CML
18.350081468,0.468233154617,1,13.1072010486,R,CML,31.4572825166,26,1100,CML
20.9715216777,0.457770631555,1,10.4857608389,R,CML,31.4572825166,27,1100,CML
18.350081468,0.703601072909,1,15.7286412583,R,CML,34.0787227263,28,1100,CML
18.350081468,0.606282032081,1,15.7286412583,R,L1/L3,34.0787227263,29,1100,L1-CML
18.350081468,0.669429043275,1,13.1072010486,R,L2,31.4572825166,30,1100,L2B
18.350081468,0.489750443385,1,7.86432062915,R,NCM,26.2144020972,31,1100,NCM
18.350081468,0.42233938214,1,5.24288041943,R,NCM,23.5929618874,32,1100,NCM
20.9715216777,0.499415408517,2,34.0787227263,L,HP,55.050244404,1,1100,HP-CMM
18.350081468,0.441814490784,2,10.4857608389,L,HP,28.8358423069,2,1100,HP-CMM
18.350081468,0.380985795136,2,10.4857608389,L,L1/L3,28.8358423069,3,1100,L1
15.7286412583,0.268873353327,2,10.4857608389,L,NCM,26.2144020972,4,1100,NCM
15.7286412583,0.367069169405,2,5.24288041943,L,HP,20.9715216777,5,1100,HP-NCM
15.7286412583,0.36155453333,2,5.24288041943,L,HP,20.9715216777,6,1100,HP-NCM
15.7286412583,0.430217940076,2,5.24288041943,L,HP,20.9715216777,7,1100,HP-NCM
15.7286412583,0.431386741988,2,5.24288041943,L,NCM,20.9715216777,8,1100,NCM
15.7286412583,0.381114983851,2,5.24288041943,L,NCM,20.9715216777,9,1100,NCM
15.7286412583,0.410055606344,2,5.24288041943,L,L2,20.9715216777,10,1100,L2B
15.7286412583,0.384516617754,2,5.24288041943,L,L2,20.9715216777,11,1100,L2B
15.7286412583,0.440922464573,2,5.24288041943,L,L2,20.9715216777,12,1100,L2A
15.7286412583,0.38563850443,2,13.1072010486,L,L2,28.8358423069,13,1100,L2A
15.7286412583,0.534579696209,2,13.1072010486,L,L1/L3,28.8358423069,14,1100,L1
15.7286412583,0.584839838367,2,13.1072010486,L,CML,28.8358423069,15,1100,CML
15.7286412583,0.59356213273,2,15.7286412583,L,CML,31.4572825166,16,1100,CML
15.7286412583,0.464535729877,2,7.86432062915,R,NCM,23.5929618874,17,1450,NCM
15.7286412583,0.307709051776,2,7.86432062915,R,NCM,23.5929618874,18,1450,NCM
18.350081468,0.168516599191,2,5.24288041943,R,L2,23.5929618874,19,1450,L2A
18.350081468,0.400927865087,2,20.9715216777,R,NCM,39.3216031457,20,1450,NCM-L
18.350081468,0.663152973659,2,13.1072010486,R,L1/L3,31.4572825166,21,1450,L1-CMM
